loco,DateTime,gps_latitude,gps_longitude,speed
PN8345,10/23/2018 14:01,-20.05850083,148.1495912,17.64605355,5.41552304
PN8345,10/23/2018 14:01,-20.0585455,148.1495707,17.66124384,5.408607352
PN8345,10/23/2018 14:01,-20.05859,148.1495498,17.6882488,5.405515395
PN8345,10/23/2018 14:01,-20.05863467,148.1495292,17.68993661,5.415522302
PN8345,10/23/2018 14:01,-20.05867933,148.1495085,17.75913682,5.415522058
PN8345,10/23/2018 14:01,-20.05872417,148.1494877,17.722005,5.439464157
PN8345,10/23/2018 14:01,-20.058769,148.149467,17.71019033,5.432523184
PN8345,10/23/2018 14:01,-20.058814,148.1494463,17.7726393,5.449534541
PN8345,10/23/2018 14:01,-20.058859,148.1494257,17.74900996,5.449534295
PN8345,10/23/2018 14:01,-20.05890383,148.1494048,17.81989798,5.439463161
PN8345,10/23/2018 14:01,-20.058949,148.149384,17.88065914,5.473452852
PN8345,10/23/2018 14:01,-20.058994,148.1493633,17.83002484,5.44953356
PN8345,10/23/2018 14:01,-20.059039,148.1493425,17.81821017,5.456452376
PN8345,10/23/2018 14:01,-20.05908383,148.1493217,17.85534199,5.439462164
PN8345,10/23/2018 14:01,-20.05912883,148.1493005,17.88403476,5.470429937
PN8345,10/23/2018 14:01,-20.05917383,148.1492792,17.890786,5.477488316
PN8345,10/23/2018 14:01,-20.0592185,148.1492568,17.91779096,5.48723171
PN8345,10/23/2018 14:01,-20.05926283,148.1492335,17.95661059,5.499191952
PN8345,10/23/2018 14:01,-20.05930683,148.1492098,17.96336183,5.48160264
PN8345,10/23/2018 14:01,-20.05935083,148.149186,17.99711803,5.489474723
PN8345,10/23/2018 14:01,-20.05939483,148.1491622,17.9751765,5.489474406
PN8345,10/23/2018 14:01,-20.059439,148.1491383,17.97180088,5.505997865
PN8345,10/23/2018 14:01,-20.05948317,148.1491145,17.9920546,5.505997547
PN8345,10/23/2018 14:01,-20.05952733,148.1490908,17.99374241,5.49814851
PN8345,10/23/2018 14:01,-20.0595715,148.1490667,18.02243518,5.52182552
PN8345,10/23/2018 14:01,-20.05961567,148.1490428,18.0426889,5.505996597
PN8345,10/23/2018 14:01,-20.05965983,148.149019,18.00386927,5.505996276
PN8345,10/23/2018 14:01,-20.059704,148.1489948,18.11526473,5.521824548
PN8345,10/23/2018 14:01,-20.05974833,148.1489708,18.06294262,5.530401063
PN8345,10/23/2018 14:01,-20.05979267,148.1489467,18.07982072,5.538313164
PN8345,10/23/2018 14:01,-20.05983733,148.1489227,18.14902093,5.563464456
PN8345,10/23/2018 14:01,-20.05988183,148.1488987,18.10513787,5.546925794
PN8345,10/23/2018 14:01,-20.05992633,148.1488748,18.14058188,5.539080075
PN8345,10/23/2018 14:01,-20.05997117,148.1488515,18.11357692,5.54908107
PN8345,10/23/2018 14:01,-20.06001617,148.148829,18.10176225,5.528176127
PN8345,10/23/2018 14:01,-20.0600615,148.1488067,18.13045502,5.55441375
PN8345,10/23/2018 14:01,-20.060107,148.1487848,18.14226969,5.549573877
PN8345,10/23/2018 14:01,-20.060153,148.1487637,18.16927465,5.572314803
PN8345,10/23/2018 14:01,-20.060199,148.1487427,18.23341143,5.565430723
PN8345,10/23/2018 14:01,-20.060245,148.1487215,18.21653333,5.572314287
PN8345,10/23/2018 14:01,-20.06029083,148.1487002,18.27391887,5.562258291
PN8345,10/23/2018 14:01,-20.060337,148.1486788,18.33805565,5.596238614
PN8345,10/23/2018 14:01,-20.060383,148.1486575,18.26885544,5.57924315
PN8345,10/23/2018 14:01,-20.060429,148.148636,18.33130441,5.586218169
PN8345,10/23/2018 14:02,-20.06047517,148.1486147,18.32286536,5.596237829
PN8345,10/23/2018 14:02,-20.0605215,148.1485933,18.38362652,5.613242504
PN8345,10/23/2018 14:02,-20.06056783,148.148572,18.39206557,5.613242242
PN8345,10/23/2018 14:02,-20.06061433,148.1485507,18.38700214,5.630256561
PN8345,10/23/2018 14:02,-20.06066083,148.1485292,18.42919739,5.637168434
PN8345,10/23/2018 14:02,-20.0607075,148.1485078,18.45789016,5.647280165
PN8345,10/23/2018 14:02,-20.06075417,148.1484865,18.48320731,5.64727991
